 Product , Size  ,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
,, Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity 
Pasteurized Milk  -(PLAIN),450 ML,"688,000 ","593,000 ","640,000 ","599,000 ","548,000 ","419,000 ","490,000 ","539,000 ","450,000 ","451,000 ","454,000 ","484,000 ","455,300 ","438,400 ","485,100 ","432,300 ","471,500 "
Sterilized Milk (Plain),500 ML,"15,500 ","14,000 ","8,900 ",500 ,"9,200 ",0 ,"4,700 ","11,800 ","8,300 ","5,800 ","9,000 ","10,800 ","5,200 ","10,600 ","11,200 ","10,600 ","7,900 "
Sterilized  Milk - (Flvd)   ,250 ML,"260,500 ","482,200 ","373,700 ","189,700 ","398,200 ","69,400 ","325,700 ","545,600 ","451,700 ","504,600 ","418,400 ","498,000 ","477,100 ","550,200 ","632,700 ","476,500 ","575,500 "
Ghee Bottle  ,500 ML,"1,700 ",100 ,100 ,600 ,0 ,"1,800 ","2,400 ","8,500 ","2,900 ","2,400 ","2,200 ","3,300 ","4,000 ","3,000 ","3,000 ","3,000 ","3,000 "
Ghee Can  ,3.5 kg,0 ,100 ,0 ,0 ,0 ,100 ,0 ,700 ,200 ,700 ,400 ,600 ,"2,000 ","2,000 ","1,000 ","1,000 ","1,000 "
Ghee -Bottle,300ml,"2,400 ","1,100 ",600 ,800 ,100 ,"3,400 ","3,700 ","7,000 ","4,200 ","7,700 ","4,800 ","7,400 ","8,000 ","7,000 ","6,000 ","6,000 ","6,000 "
Ice.Cream   (container),4 lts,"29,000 ","24,000 ","25,000 ","27,000 ","29,000 ","24,000 ","18,000 ","20,000 ","18,000 ","18,000 ","13,000 ","18,000 ","15,000 ","16,000 ","18,000 ","20,000 ","29,000 "
Ice.Cream   (container),2 lts,"37,000 ","36,000 ","40,000 ","51,000 ","31,000 ","25,000 ","27,000 ","28,000 ","27,000 ","26,000 ","21,000 ","28,000 ","24,000 ","24,000 ","26,000 ","37,000 ","25,000 "
Ice.Cream   (container),1 lts,"151,000 ","149,000 ","175,000 ","218,000 ","134,000 ","116,000 ","125,000 ","127,000 ","126,000 ","115,000 ","96,000 ","122,000 ","108,000 ","102,000 ","134,000 ","179,000 ","110,000 "
Mixed Berry with White Chocolate Chip,500ml,"2,000 ","3,000 ","1,000 ","1,000 ",0 ,0 ,0 ,0 ,"2,000 ","2,000 ","2,000 ","2,000 ","1,300 ","1,000 ",200 ,"1,000 ",900 
Coffee & Cookies with Dark Chocolate,500ml,"1,000 ","1,000 ","1,000 ","4,000 ","2,000 ","2,000 ","3,000 ","2,000 ","2,000 ","2,000 ","1,000 ","3,000 ","1,700 ","1,200 ","1,200 ","1,700 ","1,400 "
Passion Fruit Ice cream,500ml,0 ,0 ,0 ,0 ,"1,000 ","1,000 ",0 ,"2,000 ","1,000 ","1,000 ","1,000 ","2,000 ",900 ,"1,100 ","1,200 ","1,100 ",700 
Ice.Cream   cup,80 ml,"7,400 ","30,000 ","31,300 ","14,500 ","44,300 ","31,900 ","22,100 ","29,600 ","5,400 ",600 ,"17,800 ","32,300 ","25,200 ","29,000 ","27,700 ","10,600 ","7,200 "
Ice.Cream   (Fruit  Nut),1 lts,"16,900 ","17,300 ","22,000 ","20,600 ","14,300 ","11,600 ","15,300 ","15,200 ","15,100 ","14,000 ","11,900 ","15,400 ","14,500 ","11,500 ","16,500 ","18,600 ","15,900 "
Ice.Cream  ,500 ml,"33,500 ","32,000 ","44,200 ","41,400 ","26,600 ","24,400 ","28,100 ","29,700 ","28,900 ","27,900 ","20,300 ","27,700 ","22,800 ","26,100 ","29,300 ","26,000 ","24,300 "
