Product,Size,Date,Sales,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6
Butter (Salted ) ,200 gm,2024-01-01,48200.0,0.0,0.0,0.0,0.0,0.0,0.0
Butter (Salted ) ,200 gm,2024-02-01,18200.0,48200.0,0.0,0.0,0.0,48200.0,48200.0
Butter (Salted ) ,200 gm,2024-03-01,45000.0,18200.0,48200.0,0.0,0.0,33200.0,33200.0
Butter (Salted ) ,200 gm,2024-04-01,103800.0,45000.0,18200.0,48200.0,0.0,37133.333333333336,37133.333333333336
Butter (Salted ) ,200 gm,2024-05-01,71600.0,103800.0,45000.0,18200.0,0.0,55666.666666666664,53800.0
Butter (Salted ) ,200 gm,2024-06-01,85200.0,71600.0,103800.0,45000.0,0.0,73466.66666666667,57360.0
Butter (Salted ) ,200 gm,2024-07-01,100600.0,85200.0,71600.0,103800.0,0.0,86866.66666666667,62000.0
Butter (Salted ) ,200 gm,2024-08-01,93800.0,100600.0,85200.0,71600.0,0.0,85800.0,70733.33333333333
Butter (Salted ) ,200 gm,2024-09-01,50600.0,93800.0,100600.0,85200.0,0.0,93200.0,83333.33333333333
Butter (Salted ) ,200 gm,2024-10-01,119600.0,50600.0,93800.0,100600.0,0.0,81666.66666666667,84266.66666666667
Butter (Salted ) ,200 gm,2024-11-01,85300.0,119600.0,50600.0,93800.0,0.0,88000.0,86900.0
Butter (Salted ) ,200 gm,2024-12-01,96100.0,85300.0,119600.0,50600.0,0.0,85166.66666666667,89183.33333333333
Butter (Salted ) ,200 gm,2025-01-01,76800.0,96100.0,85300.0,119600.0,48200.0,100333.33333333333,91000.0
Butter (Salted ) ,200 gm,2025-02-01,105600.0,76800.0,96100.0,85300.0,18200.0,86066.66666666667,87033.33333333333
Butter (Salted ) ,200 gm,2025-03-01,78200.0,105600.0,76800.0,96100.0,45000.0,92833.33333333333,89000.0
Butter (Salted ) ,200 gm,2025-04-01,67300.0,78200.0,105600.0,76800.0,103800.0,86866.66666666667,93600.0
Butter (Salted ) ,200 gm,2025-05-01,81400.0,67300.0,78200.0,105600.0,71600.0,83700.0,84883.33333333333
Butter (Unsalted) ,200 gm,2024-01-01,100.0,0.0,0.0,0.0,0.0,72750.0,84800.0
Butter (Unsalted) ,200 gm,2024-02-01,,100.0,0.0,0.0,0.0,33700.0,65600.0
Butter (Unsalted) ,200 gm,2024-03-01,,0.0,100.0,0.0,0.0,100.0,62800.0
Butter (Unsalted) ,200 gm,2024-04-01,0.0,0.0,0.0,100.0,0.0,100.0,48533.333333333336
Butter (Unsalted) ,200 gm,2024-05-01,31000.0,0.0,0.0,0.0,0.0,0.0,22466.666666666668
Butter (Unsalted) ,200 gm,2024-06-01,16800.0,31000.0,0.0,0.0,0.0,15500.0,10366.666666666666
Butter (Unsalted) ,200 gm,2024-07-01,5400.0,16800.0,31000.0,0.0,0.0,15933.333333333334,11975.0
Butter (Unsalted) ,200 gm,2024-08-01,500.0,5400.0,16800.0,31000.0,0.0,17733.333333333332,13300.0
Butter (Unsalted) ,200 gm,2024-09-01,100.0,500.0,5400.0,16800.0,0.0,7566.666666666667,10740.0
Butter (Unsalted) ,200 gm,2024-10-01,15700.0,100.0,500.0,5400.0,0.0,2000.0,8966.666666666666
Butter (Unsalted) ,200 gm,2024-11-01,16800.0,15700.0,100.0,500.0,0.0,5433.333333333333,11583.333333333334
Butter (Unsalted) ,200 gm,2024-12-01,17300.0,16800.0,15700.0,100.0,0.0,10866.666666666666,9216.666666666666
Butter (Unsalted) ,200 gm,2025-01-01,10200.0,17300.0,16800.0,15700.0,100.0,16600.0,9300.0
Butter (Unsalted) ,200 gm,2025-02-01,10400.0,10200.0,17300.0,16800.0,0.0,14766.666666666666,10100.0
Butter (Unsalted) ,200 gm,2025-03-01,10400.0,10400.0,10200.0,17300.0,0.0,12633.333333333334,11750.0
Butter (Unsalted) ,200 gm,2025-04-01,12300.0,10400.0,10400.0,10200.0,0.0,10333.333333333334,13466.666666666666
Butter (Unsalted) ,200 gm,2025-05-01,11900.0,12300.0,10400.0,10400.0,31000.0,11033.333333333334,12900.0
Butter - Bulk  Staff,750g,2024-01-01,900.0,0.0,0.0,0.0,0.0,11350.0,12120.0
Butter - Bulk  Staff,750g,2024-02-01,1100.0,900.0,0.0,0.0,0.0,6600.0,8840.0
Butter - Bulk  Staff,750g,2024-03-01,1100.0,1100.0,900.0,0.0,0.0,1000.0,7020.0
Butter - Bulk  Staff,750g,2024-04-01,1100.0,1100.0,1100.0,900.0,0.0,1033.3333333333333,5160.0
Butter - Bulk  Staff,750g,2024-05-01,1000.0,1100.0,1100.0,1100.0,0.0,1100.0,3300.0
Butter - Bulk  Staff,750g,2024-06-01,1100.0,1000.0,1100.0,1100.0,0.0,1066.6666666666667,1040.0
Butter - Bulk  Staff,750g,2024-07-01,1100.0,1100.0,1000.0,1100.0,0.0,1066.6666666666667,1050.0
Butter - Bulk  Staff,750g,2024-08-01,1100.0,1100.0,1100.0,1000.0,0.0,1066.6666666666667,1083.3333333333333
Butter - Bulk  Staff,750g,2024-09-01,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,1083.3333333333333
Butter - Bulk  Staff,750g,2024-10-01,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,1083.3333333333333
Butter - Bulk  Staff,750g,2024-11-01,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,1083.3333333333333
Butter - Bulk  Staff,750g,2024-12-01,1600.0,1100.0,1100.0,1100.0,0.0,1100.0,1100.0
Butter - Bulk  Staff,750g,2025-01-01,1100.0,1600.0,1100.0,1100.0,900.0,1266.6666666666667,1183.3333333333333
Butter - Bulk  Staff,750g,2025-02-01,1100.0,1100.0,1600.0,1100.0,1100.0,1266.6666666666667,1183.3333333333333
Butter - Bulk  Staff,750g,2025-03-01,1100.0,1100.0,1100.0,1600.0,1100.0,1266.6666666666667,1183.3333333333333
Butter - Bulk  Staff,750g,2025-04-01,1300.0,1100.0,1100.0,1100.0,1100.0,1100.0,1183.3333333333333
Butter - Bulk  Staff,750g,2025-05-01,1000.0,1300.0,1100.0,1100.0,1000.0,1166.6666666666667,1216.6666666666667
Cheese Spread,170 gm,2024-01-01,2000.0,0.0,0.0,0.0,0.0,1200.0,1240.0
Cheese Spread,170 gm,2024-02-01,2000.0,2000.0,0.0,0.0,0.0,1650.0,1320.0
Cheese Spread,170 gm,2024-03-01,2000.0,2000.0,2000.0,0.0,0.0,2000.0,1500.0
Cheese Spread,170 gm,2024-04-01,1000.0,2000.0,2000.0,2000.0,0.0,2000.0,1680.0
Cheese Spread,170 gm,2024-05-01,0.0,1000.0,2000.0,2000.0,0.0,1666.6666666666667,1660.0
Cheese Spread,170 gm,2024-06-01,4000.0,0.0,1000.0,2000.0,0.0,1000.0,1400.0
Cheese Spread,170 gm,2024-07-01,1000.0,4000.0,0.0,1000.0,0.0,1666.6666666666667,1833.3333333333333
Cheese Spread,170 gm,2024-08-01,3000.0,1000.0,4000.0,0.0,0.0,1666.6666666666667,1666.6666666666667
Cheese Spread,170 gm,2024-09-01,1000.0,3000.0,1000.0,4000.0,0.0,2666.6666666666665,1833.3333333333333
Cheese Spread,170 gm,2024-10-01,2000.0,1000.0,3000.0,1000.0,0.0,1666.6666666666667,1666.6666666666667
Cheese Spread,170 gm,2024-11-01,2000.0,2000.0,1000.0,3000.0,0.0,2000.0,1833.3333333333333
Cheese Spread,170 gm,2024-12-01,2000.0,2000.0,2000.0,1000.0,0.0,1666.6666666666667,2166.6666666666665
Cheese Spread,170 gm,2025-01-01,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1833.3333333333333
Cheese Spread,170 gm,2025-02-01,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Cheese Spread,170 gm,2025-03-01,2500.0,100.0,2000.0,2000.0,2000.0,1366.6666666666667,1516.6666666666667
Cheese Spread,170 gm,2025-04-01,100.0,2500.0,100.0,2000.0,1000.0,1533.3333333333333,1766.6666666666667
Cheese Spread,170 gm,2025-05-01,1200.0,100.0,2500.0,100.0,0.0,900.0,1450.0
Coffee & Cookies with Dark Chocolate,500ml,2024-01-01,1000.0,0.0,0.0,0.0,0.0,1300.0,1340.0
Coffee & Cookies with Dark Chocolate,500ml,2024-02-01,1000.0,1000.0,0.0,0.0,0.0,550.0,1140.0
Coffee & Cookies with Dark Chocolate,500ml,2024-03-01,1000.0,1000.0,1000.0,0.0,0.0,1000.0,940.0
Coffee & Cookies with Dark Chocolate,500ml,2024-04-01,4000.0,1000.0,1000.0,1000.0,0.0,1000.0,1120.0
Coffee & Cookies with Dark Chocolate,500ml,2024-05-01,2000.0,4000.0,1000.0,1000.0,0.0,2000.0,1420.0
Coffee & Cookies with Dark Chocolate,500ml,2024-06-01,2000.0,2000.0,4000.0,1000.0,0.0,2333.3333333333335,1800.0
Coffee & Cookies with Dark Chocolate,500ml,2024-07-01,3000.0,2000.0,2000.0,4000.0,0.0,2666.6666666666665,1833.3333333333333
Coffee & Cookies with Dark Chocolate,500ml,2024-08-01,2000.0,3000.0,2000.0,2000.0,0.0,2333.3333333333335,2166.6666666666665
Coffee & Cookies with Dark Chocolate,500ml,2024-09-01,2000.0,2000.0,3000.0,2000.0,0.0,2333.3333333333335,2333.3333333333335
Coffee & Cookies with Dark Chocolate,500ml,2024-10-01,2000.0,2000.0,2000.0,3000.0,0.0,2333.3333333333335,2500.0
Coffee & Cookies with Dark Chocolate,500ml,2024-11-01,1000.0,2000.0,2000.0,2000.0,0.0,2000.0,2166.6666666666665
Coffee & Cookies with Dark Chocolate,500ml,2024-12-01,3000.0,1000.0,2000.0,2000.0,0.0,1666.6666666666667,2000.0
Coffee & Cookies with Dark Chocolate,500ml,2025-01-01,1700.0,3000.0,1000.0,2000.0,1000.0,2000.0,2166.6666666666665
Coffee & Cookies with Dark Chocolate,500ml,2025-02-01,1200.0,1700.0,3000.0,1000.0,1000.0,1900.0,1950.0
Coffee & Cookies with Dark Chocolate,500ml,2025-03-01,1200.0,1200.0,1700.0,3000.0,1000.0,1966.6666666666667,1816.6666666666667
Coffee & Cookies with Dark Chocolate,500ml,2025-04-01,1700.0,1200.0,1200.0,1700.0,4000.0,1366.6666666666667,1683.3333333333333
Coffee & Cookies with Dark Chocolate,500ml,2025-05-01,1400.0,1700.0,1200.0,1200.0,2000.0,1366.6666666666667,1633.3333333333333
Condensed Milk,5.1 kg,2024-01-01,14000.0,0.0,0.0,0.0,0.0,1450.0,1760.0
Condensed Milk,5.1 kg,2024-02-01,13000.0,14000.0,0.0,0.0,0.0,7850.0,3960.0
Condensed Milk,5.1 kg,2024-03-01,15000.0,13000.0,14000.0,0.0,0.0,13500.0,6220.0
Condensed Milk,5.1 kg,2024-04-01,15000.0,15000.0,13000.0,14000.0,0.0,14000.0,8980.0
Condensed Milk,5.1 kg,2024-05-01,15000.0,15000.0,15000.0,13000.0,0.0,14333.333333333334,11740.0
Condensed Milk,5.1 kg,2024-06-01,13000.0,15000.0,15000.0,15000.0,0.0,15000.0,14400.0
Condensed Milk,5.1 kg,2024-07-01,16000.0,13000.0,15000.0,15000.0,0.0,14333.333333333334,14166.666666666666
Condensed Milk,5.1 kg,2024-08-01,14000.0,16000.0,13000.0,15000.0,0.0,14666.666666666666,14500.0
Condensed Milk,5.1 kg,2024-09-01,13000.0,14000.0,16000.0,13000.0,0.0,14333.333333333334,14666.666666666666
Condensed Milk,5.1 kg,2024-10-01,14000.0,13000.0,14000.0,16000.0,0.0,14333.333333333334,14333.333333333334
Condensed Milk,5.1 kg,2024-11-01,14000.0,14000.0,13000.0,14000.0,0.0,13666.666666666666,14166.666666666666
Condensed Milk,5.1 kg,2024-12-01,16000.0,14000.0,14000.0,13000.0,0.0,13666.666666666666,14000.0
Condensed Milk,5.1 kg,2025-01-01,14800.0,16000.0,14000.0,14000.0,14000.0,14666.666666666666,14500.0
Condensed Milk,5.1 kg,2025-02-01,15800.0,14800.0,16000.0,14000.0,13000.0,14933.333333333334,14300.0
Condensed Milk,5.1 kg,2025-03-01,15000.0,15800.0,14800.0,16000.0,15000.0,15533.333333333334,14600.0
Condensed Milk,5.1 kg,2025-04-01,15500.0,15000.0,15800.0,14800.0,15000.0,15200.0,14933.333333333334
Condensed Milk,5.1 kg,2025-05-01,18000.0,15500.0,15000.0,15800.0,15000.0,15433.333333333334,15183.333333333334
Condensed Milk,525g,2024-01-01,3000.0,0.0,0.0,0.0,0.0,15250.0,15420.0
Condensed Milk,525g,2024-02-01,16000.0,3000.0,0.0,0.0,0.0,9250.0,12820.0
Condensed Milk,525g,2024-03-01,15000.0,16000.0,3000.0,0.0,0.0,9500.0,13060.0
Condensed Milk,525g,2024-04-01,10000.0,15000.0,16000.0,3000.0,0.0,11333.333333333334,12900.0
Condensed Milk,525g,2024-05-01,5000.0,10000.0,15000.0,16000.0,0.0,13666.666666666666,11900.0
Condensed Milk,525g,2024-06-01,5000.0,5000.0,10000.0,15000.0,0.0,10000.0,9800.0
Condensed Milk,525g,2024-07-01,4000.0,5000.0,5000.0,10000.0,0.0,6666.666666666667,9000.0
Condensed Milk,525g,2024-08-01,5000.0,4000.0,5000.0,5000.0,0.0,4666.666666666667,9166.666666666666
Condensed Milk,525g,2024-09-01,5000.0,5000.0,4000.0,5000.0,0.0,4666.666666666667,7333.333333333333
Condensed Milk,525g,2024-10-01,6000.0,5000.0,5000.0,4000.0,0.0,4666.666666666667,5666.666666666667
Condensed Milk,525g,2024-11-01,5000.0,6000.0,5000.0,5000.0,0.0,5333.333333333333,5000.0
Condensed Milk,525g,2024-12-01,9000.0,5000.0,6000.0,5000.0,0.0,5333.333333333333,5000.0
Condensed Milk,525g,2025-01-01,5600.0,9000.0,5000.0,6000.0,3000.0,6666.666666666667,5666.666666666667
Condensed Milk,525g,2025-02-01,6200.0,5600.0,9000.0,5000.0,16000.0,6533.333333333333,5933.333333333333
Condensed Milk,525g,2025-03-01,7200.0,6200.0,5600.0,9000.0,15000.0,6933.333333333333,6133.333333333333
Condensed Milk,525g,2025-04-01,9100.0,7200.0,6200.0,5600.0,10000.0,6333.333333333333,6500.0
Condensed Milk,525g,2025-05-01,3600.0,9100.0,7200.0,6200.0,5000.0,7500.0,7016.666666666667
Curd (Plain),1 lts,2024-01-01,47000.0,0.0,0.0,0.0,0.0,8150.0,7420.0
Curd (Plain),1 lts,2024-02-01,49000.0,47000.0,0.0,0.0,0.0,28050.0,15020.0
Curd (Plain),1 lts,2024-03-01,56000.0,49000.0,47000.0,0.0,0.0,48000.0,23700.0
Curd (Plain),1 lts,2024-04-01,51000.0,56000.0,49000.0,47000.0,0.0,50666.666666666664,33660.0
Curd (Plain),1 lts,2024-05-01,39000.0,51000.0,56000.0,49000.0,0.0,52000.0,42420.0
Curd (Plain),1 lts,2024-06-01,36000.0,39000.0,51000.0,56000.0,0.0,48666.666666666664,48400.0
Curd (Plain),1 lts,2024-07-01,43000.0,36000.0,39000.0,51000.0,0.0,42000.0,46333.333333333336
Curd (Plain),1 lts,2024-08-01,42000.0,43000.0,36000.0,39000.0,0.0,39333.333333333336,45666.666666666664
Curd (Plain),1 lts,2024-09-01,43000.0,42000.0,43000.0,36000.0,0.0,40333.333333333336,44500.0
Curd (Plain),1 lts,2024-10-01,41000.0,43000.0,42000.0,43000.0,0.0,42666.666666666664,42333.333333333336
Curd (Plain),1 lts,2024-11-01,39000.0,41000.0,43000.0,42000.0,0.0,42000.0,40666.666666666664
Curd (Plain),1 lts,2024-12-01,49000.0,39000.0,41000.0,43000.0,0.0,41000.0,40666.666666666664
Curd (Plain),1 lts,2025-01-01,49100.0,49000.0,39000.0,41000.0,47000.0,43000.0,42833.333333333336
Curd (Plain),1 lts,2025-02-01,50000.0,49100.0,49000.0,39000.0,49000.0,45700.0,43850.0
Curd (Plain),1 lts,2025-03-01,62400.0,50000.0,49100.0,49000.0,56000.0,49366.666666666664,45183.333333333336
Curd (Plain),1 lts,2025-04-01,49900.0,62400.0,50000.0,49100.0,51000.0,53833.333333333336,48416.666666666664
Curd (Plain),1 lts,2025-05-01,47500.0,49900.0,62400.0,50000.0,39000.0,54100.0,49900.0
Curd (Plain),500 ml,2024-01-01,172000.0,0.0,0.0,0.0,0.0,56150.0,52080.0
Curd (Plain),500 ml,2024-02-01,181000.0,172000.0,0.0,0.0,0.0,110950.0,76680.0
Curd (Plain),500 ml,2024-03-01,250000.0,181000.0,172000.0,0.0,0.0,176500.0,103060.0
Curd (Plain),500 ml,2024-04-01,195000.0,250000.0,181000.0,172000.0,0.0,201000.0,143060.0
Curd (Plain),500 ml,2024-05-01,164000.0,195000.0,250000.0,181000.0,0.0,208666.66666666666,169580.0
Curd (Plain),500 ml,2024-06-01,156000.0,164000.0,195000.0,250000.0,0.0,203000.0,192400.0
Curd (Plain),500 ml,2024-07-01,175000.0,156000.0,164000.0,195000.0,0.0,171666.66666666666,186333.33333333334
Curd (Plain),500 ml,2024-08-01,186000.0,175000.0,156000.0,164000.0,0.0,165000.0,186833.33333333334
Curd (Plain),500 ml,2024-09-01,165000.0,186000.0,175000.0,156000.0,0.0,172333.33333333334,187666.66666666666
Curd (Plain),500 ml,2024-10-01,178000.0,165000.0,186000.0,175000.0,0.0,175333.33333333334,173500.0
Curd (Plain),500 ml,2024-11-01,166000.0,178000.0,165000.0,186000.0,0.0,176333.33333333334,170666.66666666666
Curd (Plain),500 ml,2024-12-01,181000.0,166000.0,178000.0,165000.0,0.0,169666.66666666666,171000.0
Curd (Plain),500 ml,2025-01-01,179200.0,181000.0,166000.0,178000.0,172000.0,175000.0,175166.66666666666
Curd (Plain),500 ml,2025-02-01,192900.0,179200.0,181000.0,166000.0,181000.0,175400.0,175866.66666666666
Curd (Plain),500 ml,2025-03-01,239500.0,192900.0,179200.0,181000.0,250000.0,184366.66666666666,177016.66666666666
Curd (Plain),500 ml,2025-04-01,179700.0,239500.0,192900.0,179200.0,195000.0,203866.66666666666,189433.33333333334
Curd (Plain),500 ml,2025-05-01,168700.0,179700.0,239500.0,192900.0,164000.0,204033.33333333334,189716.66666666666
Ghee -Bottle,300ml,2024-01-01,2400.0,0.0,0.0,0.0,0.0,209600.0,194460.0
Ghee -Bottle,300ml,2024-02-01,1100.0,2400.0,0.0,0.0,0.0,91050.0,158740.0
Ghee -Bottle,300ml,2024-03-01,600.0,1100.0,2400.0,0.0,0.0,1750.0,123120.0
Ghee -Bottle,300ml,2024-04-01,800.0,600.0,1100.0,2400.0,0.0,1366.6666666666667,84660.0
Ghee -Bottle,300ml,2024-05-01,100.0,800.0,600.0,1100.0,0.0,833.3333333333334,36920.0
Ghee -Bottle,300ml,2024-06-01,3400.0,100.0,800.0,600.0,0.0,500.0,1000.0
Ghee -Bottle,300ml,2024-07-01,3700.0,3400.0,100.0,800.0,0.0,1433.3333333333333,1400.0
