iter	RMSE
0	785650.6669
1	599507.193
2	472755.4579
3	394234.9686
4	341748.0978
5	265505.8252
6	211897.3086
7	174563.9949
8	147364.5472
9	138289.1998
10	122007.7024
11	109497.0906
12	101013.5909
13	95262.04484
14	87185.59901
15	82638.55078
16	79218.78455
17	73630.06878
18	70928.08371
19	69585.31806
20	66454.53277
21	62989.59709
22	60628.626
23	59665.55022
24	55720.23104
25	53922.07468
26	52001.99505
27	49686.02402
28	47193.71384
29	44360.51611
30	42393.20856
31	41229.151
32	40353.57386
33	39681.94828
34	38458.26519
35	37308.12043
36	35635.61754
37	34399.90179
38	33369.65547
39	33163.3483
40	32680.67557
41	32118.37353
42	31561.82983
43	30256.19825
44	29832.27148
45	28716.02712
46	28510.01516
47	28373.41142
48	27581.79765
49	27532.22202
50	26635.7903
51	25918.49495
52	25036.77026
53	24655.72129
54	24045.45137
55	23286.15987
56	22507.3995
57	22119.54946
58	21766.05512
59	21303.51243
60	20708.66727
61	20440.92838
62	20105.10076
63	19788.3074
64	19680.4495
65	18997.36455
66	18638.84273
67	18573.22906
68	18154.74219
69	17778.91448
70	17480.30706
71	17074.93519
72	16859.80093
73	16532.02262
74	16285.37842
75	15949.63885
76	15840.28774
77	15488.08932
78	15240.00973
79	15135.02355
80	14803.84672
81	14643.42647
82	14460.79108
83	14171.55124
84	13946.94918
85	13807.78458
86	13697.4349
87	13465.93469
88	13362.46238
89	13247.86851
90	13096.93856
91	12954.29017
92	12799.18426
93	12756.09319
94	12589.04448
95	12140.95772
96	11913.98297
97	11890.99104
98	11698.61899
99	11530.56887
100	11467.28044
101	11265.24053
102	11018.98518
103	10936.23286
104	10829.17479
105	10710.03853
106	10535.05022
107	10379.28433
108	10331.02903
109	10307.61778
110	10190.2064
111	10026.8052
112	9891.899854
113	9853.621883
114	9704.409583
115	9657.670797
116	9520.785318
117	9484.398321
118	9418.345495
119	9361.09586
120	9299.927947
121	9257.943215
122	9129.209121
123	9028.864012
124	9004.424493
125	8919.827686
126	8830.528621
127	8781.015157
128	8676.048969
129	8651.000519
130	8610.907332
131	8388.848643
132	8233.284131
133	8150.545514
134	8088.443917
135	8068.042682
136	7974.216159
137	7934.084925
138	7904.396151
139	7813.660783
140	7789.908278
141	7753.546416
142	7708.296984
143	7630.581867
144	7477.814815
145	7426.465399
146	7365.793805
147	7320.668427
148	7174.311323
149	7033.388842
150	6921.491014
151	6818.858886
152	6782.556732
153	6697.062248
154	6678.008278
155	6640.912052
156	6579.484471
157	6535.144908
158	6457.379347
159	6415.722408
160	6370.009974
161	6321.851308
162	6235.635431
163	6195.188536
164	6164.335531
165	6145.560525
166	6123.065521
167	6042.068337
168	6003.641211
169	5968.675704
170	5943.341657
171	5857.370899
172	5810.312133
173	5785.542787
174	5776.630333
175	5745.092944
176	5733.085268
177	5711.537902
178	5696.186998
179	5662.379336
180	5632.397991
181	5630.390985
182	5594.926865
183	5569.804555
184	5522.970564
185	5508.544498
186	5455.419712
187	5419.813077
188	5391.332818
189	5361.483793
190	5328.811604
191	5220.293918
192	5142.448716
193	5111.984698
194	5073.952028
195	5070.483694
196	5023.642346
197	5014.005112
198	4988.437142
199	4962.158179
200	4881.837203
201	4867.131251
202	4852.626066
203	4832.513461
