iter	Passed	Remaining
0	25	5083
1	44	4528
2	64	4311
3	87	4351
4	116	4647
5	143	4732
6	165	4662
7	179	4394
8	203	4401
9	238	4621
10	267	4696
11	311	4981
12	341	5012
13	370	5021
14	398	5025
15	435	5118
16	467	5145
17	493	5097
18	529	5152
19	555	5113
20	579	5052
21	609	5046
22	647	5093
23	671	5037
24	696	4985
25	735	5032
26	762	5001
27	796	5005
28	836	5045
29	916	5313
30	982	5483
31	1096	5893
32	1158	6001
33	1191	5958
34	1226	5923
35	1269	5926
36	1309	5911
37	1358	5933
38	1412	5973
39	1454	5964
40	1484	5901
41	1519	5862
42	1568	5871
43	1600	5820
44	1628	5753
45	1664	5715
46	1699	5675
47	1729	5619
48	1760	5568
49	1798	5540
50	1826	5480
51	1855	5423
52	1902	5419
53	1926	5350
54	1949	5280
55	1978	5229
56	2003	5166
57	2024	5096
58	2050	5039
59	2082	4997
60	2107	4941
61	2136	4893
62	2173	4864
63	2199	4810
64	2220	4748
65	2244	4693
66	2270	4643
67	2294	4589
68	2319	4538
69	2348	4495
70	2367	4434
71	2387	4377
72	2409	4323
73	2429	4268
74	2448	4210
75	2471	4161
76	2494	4114
77	2513	4060
78	2539	4018
79	2567	3980
80	2587	3929
81	2610	3884
82	2636	3842
83	2656	3795
84	2676	3747
85	2695	3698
86	2715	3651
87	2733	3603
88	2754	3558
89	2779	3520
90	2799	3476
91	2818	3430
92	2839	3388
93	2857	3344
94	2876	3299
95	2895	3257
96	2918	3219
97	2940	3180
98	2961	3140
99	2988	3107
100	3016	3075
101	3043	3043
102	3070	3011
103	3109	2990
104	3133	2954
105	3156	2918
106	3186	2888
107	3206	2850
108	3233	2817
109	3272	2796
110	3296	2761
111	3323	2729
112	3347	2696
113	3383	2671
114	3404	2634
115	3427	2600
116	3451	2566
117	3474	2532
118	3498	2499
119	3520	2464
120	3547	2433
121	3572	2401
122	3596	2368
123	3618	2334
124	3641	2301
125	3659	2265
126	3679	2231
127	3700	2196
128	3719	2162
129	3738	2128
130	3757	2094
131	3782	2063
132	3802	2029
133	3824	1998
134	3846	1966
135	3871	1935
136	3895	1905
137	3917	1873
138	3947	1846
139	3970	1814
140	3990	1782
141	4015	1753
142	4033	1720
143	4052	1688
144	4079	1659
145	4099	1628
146	4118	1596
147	4137	1565
148	4162	1536
149	4181	1505
150	4200	1474
151	4225	1445
152	4248	1416
153	4268	1385
154	4294	1357
155	4319	1328
156	4354	1303
157	4378	1274
158	4400	1245
159	4423	1216
160	4458	1190
161	4480	1161
162	4509	1134
163	4545	1108
164	4572	1080
165	4597	1052
166	4618	1023
167	4638	993
168	4661	965
169	4684	936
170	4702	907
171	4721	878
172	4745	850
173	4765	821
174	4785	793
175	4806	764
176	4827	736
177	4848	708
178	4868	679
179	4889	651
180	4910	623
181	4928	595
182	4946	567
183	4970	540
184	4990	512
185	5009	484
186	5029	457
187	5048	429
188	5068	402
189	5087	374
190	5106	347
191	5128	320
192	5147	293
193	5168	266
194	5194	239
195	5212	212
196	5231	185
197	5259	159
198	5277	132
199	5302	106
200	5326	79
201	5346	52
202	5367	26
203	5394	0
